Date,PriceUSD
2021-11-22,1811.38218783758
2021-11-23,1793.03293207215
2021-11-24,1792.9663887435
2021-11-25,1796.79175583091
2021-11-26,1794.48774517514
2021-11-27,1793.20283564904
2021-11-28,1792.54593637746
2021-11-29,1790.53760224038
2021-11-30,1778.62731439979
2021-12-01,1785.45260198478
2021-12-02,1771.04021127964
2021-12-03,1782.78898351312
2021-12-04,1781.77925938859
2021-12-05,1783.89053945873
2021-12-06,1784.96970972542
2021-12-07,1787.49231332297
2021-12-08,1785.85350272249
2021-12-09,1779.16985870812
2021-12-10,1784.27576034658
2021-12-11,1783.43968764057
2021-12-12,1784.40206504136
2021-12-13,1790.76404475089
2021-12-14,1775.55677575785
2021-12-15,1773.97362192413
2021-12-16,1799.83511908826
2021-12-17,1805.00411409595
2021-12-18,1803.91421922137
2021-12-19,1807.75321890357
2021-12-20,1799.06288583596
2021-12-21,1795.71694071997
2021-12-22,1806.52041589106
2021-12-23,1815.30273100492
2021-12-24,1816.69865617903
2021-12-25,1818.74005082773
2021-12-26,1813.24146762424
2021-12-27,1819.58085780955
2021-12-28,1811.32699606817
2021-12-29,1811.59465679787
2021-12-30,1822.42205271488
2021-12-31,1833.66735201594
2022-01-01,1834.22096298206
2022-01-02,1836.36155290685
2022-01-03,1809.23197871971
2022-01-04,1815.87522324198
2022-01-05,1817.736645579
2022-01-06,1794.12085918871
2022-01-07,1802.09045286154
2022-01-08,1804.12867350274
2022-01-09,1797.76555138322
2022-01-10,1804.97843029205
2022-01-11,1823.3333169726
2022-01-12,1832.18279578007
2022-01-13,1827.55401912153
2022-01-14,1825.99171637374
2022-01-15,1826.76721562188
2022-01-16,1825.60874515813
2022-01-17,1822.82039761677
2022-01-18,1820.78769177799
2022-01-19,1848.32048553652
2022-01-20,1845.34703750928
2022-01-21,1838.47424561183
2022-01-22,1839.8672487036
2022-01-23,1844.32560525448
2022-01-24,1850.08765352958
2022-01-25,1863.31435388079
2022-01-26,1833.32101205023
2022-01-27,1809.31353160859
2022-01-28,1796.5998351175
2022-01-29,1799.32768221879
2022-01-30,1801.97482956211
2022-01-31,1803.68378940428
2022-02-01,1807.88199972035
2022-02-02,1814.07976484588
2022-02-03,1812.36885394335
2022-02-04,1814.9504468209
2022-02-05,1816.91359169882
2022-02-06,1817.86620858117
2022-02-07,1825.51701034727
2022-02-08,1833.20615268608
2022-02-09,1839.15028502273
2022-02-10,1834.93736171978
2022-02-11,1870.60851329152
2022-02-12,1874.63185254135
2022-02-13,1882.19154236586
2022-02-14,1883.45231298004
2022-02-15,1861.13974736831
2022-02-16,1879.60511825997
2022-02-17,1916.25498078107
2022-02-18,1914.38719589577
2022-02-19,1916.13275077946
2022-02-20,1938.33251203466
2022-02-21,1954.92956696196
2022-02-22,1908.59945565385
2022-02-23,1923.29017590067
2022-02-24,1937.93072240763
2022-02-25,1897.63729117446
2022-02-26,1892.70469769972
2022-02-27,1917.2298534894
2022-02-28,1896.91809552427
2022-03-01,1937.6330072207
2022-03-02,1924.675554707
2022-03-03,1935.05101037637
2022-03-04,1975.16369491026
2022-03-05,1972.13653768496
2022-03-06,1990.83498141792
2022-03-07,2002.52462840944
2022-03-08,2056.13731530211
2022-03-09,1996.12359318386
2022-03-10,2000.56826601921
2022-03-11,1988.33790822534
2022-03-12,1992.88871206234
2022-03-13,1987.51288276547
2022-03-14,1959.79981834036
2022-03-15,1927.16854929902
2022-03-16,1935.32343080816
2022-03-17,1951.8053148949
2022-03-18,1924.7496997186
2022-03-19,1918.51815607518
2022-03-20,1922.88120375589
2022-03-21,1936.05019632922
2022-03-22,1920.12421957442
2022-03-23,1946.31149417489
2022-03-24,1957.70574038871
2022-03-25,1960.79447978683
2022-03-26,1965.92240833102
2022-03-27,1953.15365961373
2022-03-28,1925.49184810448
2022-03-29,1919.74861624415
2022-03-30,1931.93087070177
2022-03-31,1935.90303217572
2022-04-01,1927.05429092926
2022-04-02,1922.15330389544
2022-04-03,1922.56994819712
2022-04-04,1930.53189724007
2022-04-05,1922.928855923
2022-04-06,1922.40636339166
2022-04-07,1929.61205172306
2022-04-08,1947.33909844524
2022-04-09,1947.81762204323
2022-04-10,1944.80527733362
2022-04-11,1952.87422654735
2022-04-12,1966.0109598882
2022-04-13,1982.45408123663
2022-04-14,1977.67889221707
2022-04-15,1980.62746466785
2022-04-16,1980.01936765302
2022-04-17,1983.84439479943
2022-04-18,1980.0699018583
2022-04-19,1954.04437286456
2022-04-20,1963.07950341456
2022-04-21,1958.54313560785
2022-04-22,1935.91426751509
2022-04-23,1936.50004270493
2022-04-24,1936.5123611177
2022-04-25,1904.08786790029
2022-04-26,1907.68792167752
2022-04-27,1892.06945548119
2022-04-28,1898.9948004825
2022-04-29,1905.20774840034
2022-04-30,1902.41836753052
2022-05-01,1904.97058473105
2022-05-02,1867.77795011179
2022-05-03,1872.31273898143
2022-05-04,1887.41763140114
2022-05-05,1877.28057661619
2022-05-06,1883.44905945766
2022-05-07,1886.00668076844
2022-05-08,1883.29363440176
2022-05-09,1852.03795255998
2022-05-10,1835.55945960931
2022-05-11,1848.29331571769
2022-05-12,1829.28762793978
2022-05-13,1807.48432907493
2022-05-14,1808.00288005803
2022-05-15,1808.93977000642
2022-05-16,1824.97805307114
2022-05-17,1818.94172347172
2022-05-18,1816.35613611161
2022-05-19,1848.3397163051
2022-05-20,1855.18188552324
2022-05-21,1851.59608730396
2022-05-22,1852.15897773275
2022-05-23,1854.41923974594
2022-05-24,1867.65763156769
2022-05-25,1856.81364011812
2022-05-26,1851.51188017615
2022-05-27,1851.78113363865
2022-05-28,1853.69876823804
2022-05-29,1851.73598450074
2022-05-30,1855.19125557203
2022-05-31,1837.41303449236
2022-06-01,1850.26999961781
2022-06-02,1869.72344245814
2022-06-03,1854.14667201074
2022-06-04,1860.20457181238
2022-06-05,1855.86792745067
2022-06-06,1843.49155701595
2022-06-07,1854.77069354382
2022-06-08,1855.33318130305
2022-06-09,1846.06772799715
2022-06-10,1871.43755875041
2022-06-11,1879.18046405814
2022-06-12,1881.97098971792
2022-06-13,1824.91363754262
2022-06-14,1813.17763708431
2022-06-15,1836.47655971352
2022-06-16,1856.26774602355
2022-06-17,1840.97967698367
2022-06-18,1823.47136878077
2022-06-19,1840.95267744044
2022-06-20,1845.97965040577
2022-06-21,1836.02880588435
2022-06-22,1842.66782954981
2022-06-23,1827.82508824448
2022-06-24,1825.17064993315
2022-06-25,1822.87021362615
2022-06-26,1831.03635409067
2022-06-27,1826.83080117508
2022-06-28,1821.62238178999
2022-06-29,1821.06332766082
2022-06-30,1811.1359066133
2022-07-01,1805.02796302172
2022-07-02,1806.76319733976
2022-07-03,1811.38753469432
2022-07-04,1810.90999315387
2022-07-05,1769.40601354851
2022-07-06,1743.9783672768
2022-07-07,1742.06082196073
